"data_year","ori","pub_agency_name","pub_agency_unit","agency_type_name","state_abbr","state_name","division_name","county_name","region_name","population_group_code","population_group_desc","offense_code","offense_name","offender_race","offender_ethnicity","offender_age","offender_sex","victim_type_code","victim_type_name","location_code","location_name","weapon_code","weapon_name","prop_desc_code","data_year","prop_desc_code","prop_desc_name","stolen_value","recovered_value","recovered_flag","date_recovered"
2021,WV0350100,Wheeling,,City,WV,West Virginia,South Atlantic,"MARSHALL, OHIO",South,"4","Cities from 25,000 thru 49,999","35A",Drug/Narcotic Violations,Unknown,Not Specified,28,F,S,Society/Public,"18",Parking/Drop Lot/Garage,,,"20",2021,"20",Money,102,0,false,
2021,WV0350100,Wheeling,,City,WV,West Virginia,South Atlantic,"MARSHALL, OHIO",South,"4","Cities from 25,000 thru 49,999","23H",All Other Larceny,Unknown,Not Specified,28,F,S,Society/Public,"08",Department/Discount Store,,,"20",2021,"20",Money,102,0,false,
2021,WV0020000,Berkeley,,County,WV,West Virginia,South Atlantic,BERKELEY,South,"9A","MSA counties 100,000 or over","23H",All Other Larceny,Unknown,Not Specified,0,U,I,Individual,"18",Parking/Drop Lot/Garage,,,"38",2021,"38",Vehicle Parts,1,0,false,
2021,AL0020100,Mobile,,City,AL,Alabama,East South Central,MOBILE,South,"2","Cities from 100,000 thru 249,999","23F",Theft From Motor Vehicle,,,,,I,Individual,"18",Parking/Drop Lot/Garage,,,"68",2021,"68",Lawn/ Yard/ Garden Equipment,18000,0,false,
2021,WV0120000,Grant,,County,WV,West Virginia,South Atlantic,GRANT,South,"8D","Non-MSA counties under 10,000","23D",Theft From Building,White,Not Specified,29,M,I,Individual,"20",Residence/Home,,,"19",2021,"19",Merchandise,200,0,false,
2021,WV0020000,Berkeley,,County,WV,West Virginia,South Atlantic,BERKELEY,South,"9A","MSA counties 100,000 or over","240",Motor Vehicle Theft,Unknown,Not Specified,37,M,I,Individual,"20",Residence/Home,,,"03",2021,"03",Automobile,4000,0,false,
2021,WV0020000,Berkeley,,County,WV,West Virginia,South Atlantic,BERKELEY,South,"9A","MSA counties 100,000 or over","240",Motor Vehicle Theft,White,Not Specified,35,F,I,Individual,"20",Residence/Home,,,"03",2021,"03",Automobile,4000,0,false,
2021,AL0020100,Mobile,,City,AL,Alabama,East South Central,MOBILE,South,"2","Cities from 100,000 thru 249,999","23H",All Other Larceny,,,,,I,Individual,"05",Commercial/Office Building,,,"25",2021,"25",Purse/ Wallet,20,0,false,
2021,AL0020100,Mobile,,City,AL,Alabama,East South Central,MOBILE,South,"2","Cities from 100,000 thru 249,999","23H",All Other Larceny,,,,,I,Individual,"05",Commercial/Office Building,,,"20",2021,"20",Money,600,0,false,
2021,AL0020100,Mobile,,City,AL,Alabama,East South Central,MOBILE,South,"2","Cities from 100,000 thru 249,999","23H",All Other Larceny,,,,,I,Individual,"05",Commercial/Office Building,,,"09",2021,"09",Credit/ Debit cards,0,0,false,
